//ошибки в написании
коагулограмама,коагулограмма
//точные замены
липидограмма,уровень холестерин в кровь
флюрография,рентгенография легкое
//сокращения
cito, 
ig,иммуноглобулин
ige,ige
rg,рентгенография
rw,реакция вассерман
t3,трийодтиронин
t4,тироксин
yge,ige
ад,артериальный давление
алт,аланин трансаминаза
ан,анализ
апфа,ангиотензинпревращающий
асат,аспартатаминотрансфераза
асло,антистрептолизин O
аст,аспартат трансаминаза
ат,антитело
биллирубин,билирубин
бх,биохимический
бца,брахиоцефальный артерия
впг,вирус простой герпес
вэб,вирус эпштейн барра
гб,болезнь сердце гипертензивный
ггт,гамма глютамилтрансфераза
герп,герпес
дцт,лактатдегидрогеназа
еср,эозинофильный катионный белок
есра,эозинофильный катионный белок
жкт,желудочно-кишечный тракт
иге,ige 
игла е,ige
иго,ige 
конс,консультация
кф,креатинкиназа
лдг,лактатдегидрогеназа
лпвп,липопротеин высокий плотность
лпнп,липопротеин низкий плотность
мрт,магнитно резонансный томография
оака,общий клинический анализ кровь
оам,общий анализ моча
оаэ,отоакустический эмиссия
обп,орган брюшной полость
огк,орган грудной клетка
оки,острый кишечный инфекция
онп,околоносов придаточный пазуха нос
ох,общий холестерин
поп,поясничный отдел позвоночник
ппн,придаточный пазуха нос
ппн,придаточный пазуха нос
пт,позитронный эмиссионный томография
рентген,рентгенография
ртг,рецептор тиреотропный гормон
сад,суточный мониторирование артериальный давление
сд,сахарный диабет
септопластика,пластика носовой перегородка
септумпластика,пластика носовой перегородка
соэ,скорость оседание эритроцит
срб,с реактивный белок
срб,с реактивный белок
срп,с реактивный белок
т3,трийодтиронин
т4,тироксин
тг,тиреоглобулин
тпо,тиреопероксидаза
трузи,трансректальный ультразвуковой исследование
ттг,тиреотропный гормон
туалет,промывание
увт,ударно волновой терапия
уздг,ультразвуковой допплерография
узи,ультразвуковой исследование
фг,фистулография
фгдс,эзофагогастродуоденоскопия
флг,рентгенография
фогк,рентгенография орган грудной клетка
хр,хронический
хс,холестерин
цито, 
цмв,цитомегаловирус
цмви,цитомегаловирус
чсс,частота сердечный сокращение
чсс,частота сердцебиение
шоп,шейный отдел позвоночник
щж,щитовидный железа
эгдс,эзофагогастродуоденоскопия
эит,электроимпульсный
экб,эозинофильный катионный белок
экг,электрокардиография
эфгдс,эзофагогастродуоденоскопия
эхокс,эхокардиография
ээг,электроэнцефалография
