//именна врачей для синдромов
Жильбера,жильбера
Баррета,баррета
Паркинсона,паркинсона
Гона,гона
//замены
(о.),острый  
(О.),Острый 
с-м,симптом 
Соп ,
Соп:,
Сопут:,
Яб, язвенный болезнь
(Хр.),Хронический 
Хр,Хронический 
(Хрон.),Хронический 
хр.,хронический 
ОРВИ,Острый респираторный инфекция
РССО,развитие сердечный сосудистый недосточность
НАЖБП,неалкогольный жировой болезнь печень
БА,бронхиальная астма
ГБ,гипертоническая болезнь
ССО,сердечнососудистые осложнения
СН,сердечная недостаточность
ИМВП,инфекция мочевыводящих путей
ДТЗ,диффузный токсический зоб
ДОА,деформирующий остеоартроз
Дислипидемия,Нарушение обмен липопротеин другой липидемия
АБС,Амиотрофический боковой склероз
неут,неуточненный
